City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
417,oranjemund,-28.55,16.4333,16.56,95,9,0.81,NA,1673213466
418,abu dhabi,24.4667,54.3667,20.01,71,0,1.54,AE,1673213264
419,krizevci,46.0219,16.5425,11.77,76,100,4.71,HR,1673213466
420,dukat,62.55,155.55,-40.28,99,22,0.92,RU,1673213466
421,elkhart,41.5823,-85.8344,2.68,73,20,0.0,US,1673213466
422,pasrur,32.2641,74.6634,7.91,48,95,3.41,PK,1673213466
423,mezen,65.8522,44.24,-28.71,97,5,2.24,RU,1673213466
424,metro,-5.1131,105.3067,23.59,87,100,1.73,ID,1673213466
425,dodoma,-6.1722,35.7395,19.98,81,100,3.19,TZ,1673213202
426,ballina,-28.8667,153.5667,22.66,86,13,2.78,AU,1673213467
427,soure,-0.7167,-48.5233,25.47,85,93,3.64,BR,1673213467
428,altus,34.6381,-99.334,15.73,36,0,5.66,US,1673213467
429,lima,-12.0432,-77.0282,22.14,68,0,5.66,PE,1673213180
430,kuito,-12.3833,16.9333,15.48,93,100,1.73,AO,1673213467
431,turbat,26.0023,63.044,18.5,83,4,1.49,PK,1673213468
432,clarence town,-32.5833,151.7833,19.99,59,20,1.23,AU,1673213468
433,muros,42.7762,-9.0603,12.83,85,70,6.91,ES,1673213435
434,tamluk,22.3,87.9167,13.57,41,0,3.61,IN,1673213468
435,coquimbo,-29.9533,-71.3436,20.85,73,20,5.66,CL,1673213469
436,tacoronte,28.4769,-16.4102,13.98,83,20,1.54,ES,1673213469
437,hualmay,-11.0964,-77.6139,22.78,72,38,4.72,PE,1673213469
438,vikhorevka,56.1201,101.1636,-10.23,93,93,1.52,RU,1673213469
439,gebre guracha,9.8,38.4,13.42,44,89,1.48,ET,1673213469
440,sao jose da coroa grande,-8.8978,-35.1478,25.8,76,98,3.74,BR,1673213469
441,brownsville,25.9018,-97.4975,21.09,80,100,5.66,US,1673213469
442,urusha,54.05,122.9,-32.16,99,8,1.06,RU,1673213469
443,navirai,-23.065,-54.1906,24.71,62,91,1.65,BR,1673213469
444,jiangyou,31.7667,104.7167,7.55,73,0,1.53,CN,1673213470
445,monaragala,6.8714,81.3487,21.17,89,24,2.96,LK,1673213470
446,rahuri,19.3833,74.65,15.08,33,0,1.67,IN,1673213470
447,otradnoye,59.7775,30.8181,-12.97,86,100,4.36,RU,1673213471
448,sao joao da barra,-21.6403,-41.0511,25.05,91,100,2.81,BR,1673213471
449,almolonga,14.8167,-91.5,19.18,84,75,2.06,GT,1673213471
450,khani,41.9563,42.9566,-2.24,96,100,0.64,GE,1673213471
451,mandalgovi,45.7625,106.2708,-10.19,69,1,2.07,MN,1673213471
452,gull lake,50.1001,-108.4847,1.3,71,98,3.88,CA,1673213472
453,iztapa,13.9333,-90.7075,28.78,56,33,4.39,GT,1673213472
454,touros,-5.1989,-35.4608,26.34,75,93,5.24,BR,1673213473
455,zubtsov,56.1753,34.5894,-18.71,95,52,2.59,RU,1673213473
456,ugoofaaru,5.6667,73.0,27.08,73,11,3.53,MV,1673213473
